epoch,lr,train_loss,loss_x,loss_u,pseudo_label_used_rate,labeled_train_acc,test_loss,test_acc,best_acc
1,0.0009996145181203615,1.3559233859965676,1.3518409666262174,0.004082412348668042,0.027138157894736843,0.45476973684210525,7.85021880061356,0.11711340206185566,0.11711340206185566
2,0.000998458666866564,0.8190036102345115,0.7874711030407956,0.031532507818682415,0.14185855263157895,0.6866776315789473,12.479195141743139,0.15010309278350514,0.15010309278350514
3,0.0009965342284774632,0.7035980632430628,0.6786240558875235,0.024974007943743153,0.1825657894736842,0.7319078947368421,5.419890119945786,0.34556701030927833,0.34556701030927833
4,0.0009938441702975688,0.5999464769112436,0.5702336273695293,0.029712852237648087,0.23026315789473684,0.7993421052631579,1.1196439180761268,0.56,0.56
5,0.0009903926402016151,0.5493351221084595,0.5191140708170439,0.030221050016974147,0.26192434210526316,0.8133223684210527,6.832382381085268,0.08742268041237114,0.56
6,0.0009861849601988382,0.4482802874163577,0.42763889463324295,0.020641392170402565,0.31661184210526316,0.8404605263157895,5.924504453118929,0.44536082474226807,0.56
7,0.0009812276182268236,0.38514213028707,0.36469546587843643,0.02044666472724394,0.36307565789473684,0.8708881578947368,3.2591594210589667,0.4362886597938144,0.56
8,0.0009755282581475768,0.3674576031534295,0.34193278064853266,0.025524821132421494,0.3824013157894737,0.8791118421052632,9.79440584802136,0.2111340206185567,0.56
9,0.0009690956679612421,0.35547151220472234,0.332841337511414,0.022630174105104647,0.4194078947368421,0.8832236842105263,1.6728282499728129,0.6136082474226804,0.6136082474226804
10,0.0009619397662556433,0.34805197621646683,0.3153626738410247,0.03268930012066113,0.4498355263157895,0.8947368421052632,11.234301135755077,0.31092783505154636,0.6136082474226804
11,0.0009540715869125406,0.3117622615475404,0.2700551246341906,0.041707139854368414,0.4917763157894737,0.9037828947368421,17.123323365830885,0.22845360824742267,0.6136082474226804
12,0.0009455032620941839,0.24752193297210492,0.21288952545115822,0.03463240698175995,0.5370065789473685,0.9317434210526315,4.245151455319036,0.48536082474226805,0.6136082474226804
13,0.0009362480035363986,0.2727595489276083,0.24020356332000933,0.032555983156750075,0.5353618421052632,0.9161184210526315,5.226058672482205,0.22556701030927834,0.6136082474226804
14,0.0009263200821770461,0.21987630152388624,0.17718063490955452,0.042695666124161924,0.5608552631578947,0.946546052631579,4.600381994394872,0.3043298969072165,0.6136082474226804
15,0.0009157348061512728,0.20808781997153633,0.16483332648089058,0.043254493784747626,0.5546875,0.9473684210526315,10.884761456755019,0.3096907216494845,0.6136082474226804
16,0.0009045084971874739,0.15587311630186282,0.11333151671447252,0.04254159850901679,0.6155427631578947,0.9695723684210527,4.335743534515749,0.4057731958762887,0.6136082474226804
17,0.0008926584654403725,0.1646342022638572,0.12726116984298355,0.03737303320514528,0.6328125,0.9629934210526315,6.301360792327173,0.24618556701030928,0.6136082474226804
18,0.0008802029828000156,0.15325719235759033,0.1083084729156996,0.044948720030094445,0.6447368421052632,0.9745065789473685,8.261812745713696,0.28536082474226804,0.6136082474226804
19,0.0008671612547178428,0.18411969511132492,0.13464621709365593,0.04947347811570293,0.6402138157894737,0.9572368421052632,4.780987620247317,0.4692783505154639,0.6136082474226804
20,0.0008535533905932737,0.10788550208273687,0.05987581752828861,0.04800968381919359,0.694078947368421,0.9884868421052632,9.854089859257039,0.3868041237113402,0.6136082474226804
21,0.0008394003727664709,0.10854708011213102,0.06326234056369255,0.04528473954843847,0.7249177631578947,0.9827302631578947,2.2780722544463616,0.6061855670103092,0.6136082474226804
22,0.0008247240241650919,0.10840473775016635,0.05678634306317881,0.05161839512814032,0.7462993421052632,0.9884868421052632,1.941921462029526,0.5492783505154639,0.6136082474226804
23,0.000809546974654917,0.09191918726030149,0.04757074825465679,0.04434843831940701,0.743421052631579,0.9851973684210527,1.186740733681045,0.7274226804123711,0.7274226804123711
24,0.0007938926261462366,0.0892901649992717,0.04866418105206991,0.040625984633439464,0.7664473684210527,0.984375,3.1269422472500694,0.48701030927835054,0.7274226804123711
25,0.0007777851165098012,0.08491075117337077,0.03690840789165936,0.04800234303662652,0.7857730263157895,0.9950657894736842,12.891071373064493,0.2775257731958763,0.7274226804123711
26,0.0007612492823579744,0.08303899866969962,0.03754733654817468,0.04549166163135516,0.8096217105263158,0.9884868421052632,1.5535134490275966,0.6820618556701031,0.7274226804123711
27,0.0007443106207484776,0.0766355044355518,0.033100378258447895,0.04353512598103598,0.8104440789473685,0.990953947368421,2.512503304082227,0.6309278350515464,0.7274226804123711
28,0.0007269952498697734,0.07668078749587662,0.03449197145374982,0.042188816360737146,0.8170230263157895,0.9925986842105263,1.7871839788886383,0.6750515463917526,0.7274226804123711
29,0.0007093298687687142,0.0816586174462971,0.03554521672623722,0.04611340057300894,0.821546052631579,0.990953947368421,0.8913075282770334,0.7463917525773196,0.7463917525773196
30,0.000691341716182545,0.05461117184083713,0.02083489470379917,0.03377627733310586,0.8342927631578947,0.9967105263157895,8.956866086805203,0.44329896907216493,0.7463917525773196
31,0.0006730585285387465,0.07640316092262142,0.027028548555742753,0.049374612342370186,0.8367598684210527,0.9925986842105263,1.5849828284272214,0.72,0.7463917525773196
32,0.0006545084971874737,0.0630146758140702,0.01917410715434112,0.04384056900284792,0.8170230263157895,0.9950657894736842,3.0904455715909447,0.596701030927835,0.7463917525773196
33,0.0006357202249325371,0.06061474939710215,0.022969013766238566,0.03764573641513523,0.834703947368421,0.9942434210526315,3.8255973728372927,0.571958762886598,0.7463917525773196
34,0.0006167226819279528,0.0648970610805248,0.024540267382307274,0.04035679373498026,0.8363486842105263,0.9942434210526315,8.052376350717447,0.31752577319587627,0.7463917525773196
35,0.0005975451610080642,0.06118052511623031,0.019366826420943988,0.04181369898938819,0.8515625,0.9967105263157895,0.7887513152566095,0.8189690721649484,0.8189690721649484
36,0.0005782172325201155,0.0673207956317224,0.016211982755186528,0.05110881276624767,0.8589638157894737,0.9958881578947368,3.5308573712641373,0.5402061855670103,0.8189690721649484
37,0.0005587686987289189,0.05409020557999611,0.013475743747365317,0.04061446186939353,0.8622532894736842,0.9975328947368421,3.1680310677729318,0.6552577319587629,0.8189690721649484
38,0.0005392295478639225,0.04167352950102404,0.011323197266871208,0.03035033229542406,0.8717105263157895,0.9991776315789473,1.877809700356009,0.7030927835051546,0.8189690721649484
39,0.0005196299078795343,0.04192220507875869,0.005460815191710074,0.03646139030982005,0.8865131578947368,0.9991776315789473,5.647655422932727,0.5793814432989691,0.8189690721649484
40,0.0005,0.03952035822562481,0.008576879694469665,0.030943478408612703,0.8807565789473685,0.9983552631578947,4.623951064475525,0.5847422680412371,0.8189690721649484
41,0.00048037009212046586,0.041085679084062576,0.009962719938668766,0.0311229587287495,0.8799342105263158,0.9991776315789473,1.8631639469020072,0.7063917525773196,0.8189690721649484
42,0.00046077045213607765,0.07725666433964905,0.018646597286294166,0.05861006701659215,0.8725328947368421,0.993421052631579,4.0609723740722865,0.5245360824742268,0.8189690721649484
43,0.0004412313012710813,0.051304665737246215,0.01759938149418878,0.0337052848680239,0.8696546052631579,0.9950657894736842,2.4075999811691107,0.6235051546391752,0.8189690721649484
44,0.00042178276747988476,0.0441961753623266,0.0072864069554366565,0.03690976833336448,0.8852796052631579,1.0,2.048148181211167,0.6779381443298969,0.8189690721649484
45,0.000402454838991936,0.04089252346832501,0.005525104061234742,0.03536741901189089,0.8930921052631579,0.9991776315789473,4.0281531324862865,0.5942268041237113,0.8189690721649484
46,0.00038327731807204744,0.032196584059611746,0.004041466852772589,0.02815511690354661,0.9029605263157895,1.0,1.6578157131531912,0.7397938144329896,0.8189690721649484
47,0.00036427977506746286,0.0376452392849483,0.003978113986943897,0.0336671252980044,0.9144736842105263,1.0,2.730457784814625,0.6387628865979381,0.8189690721649484
48,0.00034549150281252644,0.028570572306451044,0.004276617344370798,0.024293954851792046,0.9078947368421053,0.9991776315789473,1.485003267920781,0.7550515463917525,0.8189690721649484
49,0.00032694147146125374,0.02861007538280989,0.003045175132635785,0.02556490025630123,0.9111842105263158,1.0,2.118516834122758,0.7167010309278351,0.8189690721649484
50,0.0003086582838174553,0.03875742499765597,0.0042391112625696946,0.034518313545145486,0.9054276315789473,1.0,4.248347172390593,0.5909278350515464,0.8189690721649484
51,0.00029067013123128623,0.03034542434799828,0.004084861512590004,0.026260562878298133,0.9132401315789473,1.0,2.38456462551521,0.7063917525773196,0.8189690721649484
52,0.0002730047501302268,0.049489574997048626,0.008927954777487014,0.04056161985193428,0.9009046052631579,0.9975328947368421,1.9979408838891706,0.7006185567010309,0.8189690721649484
53,0.0002556893792515226,0.034494837108803425,0.004956342396326363,0.029538494926926336,0.9013157894736842,1.0,2.193685528084602,0.7224742268041238,0.8189690721649484
54,0.00023875071764202575,0.027075971133614842,0.004909492226464576,0.022166478643684012,0.9120065789473685,0.9991776315789473,2.6161007751987815,0.6923711340206186,0.8189690721649484
55,0.000222214883490199,0.04729350670976074,0.005493530262212612,0.04179997688257381,0.9120065789473685,0.9991776315789473,3.031898430954364,0.6614432989690722,0.8189690721649484
56,0.00020610737385376362,0.029948692033557517,0.0038737030883662796,0.026074989245420222,0.9037828947368421,1.0,1.4332241914109585,0.7756701030927835,0.8189690721649484
57,0.00019045302534508325,0.02960329311654756,0.002735105392179991,0.02686818792043548,0.9214638157894737,1.0,2.0805897984421318,0.72,0.8189690721649484
58,0.00017527597583490834,0.02481283428833673,0.0014755917976512329,0.02333724253663891,0.9144736842105263,1.0,2.0438184712022096,0.7319587628865979,0.8189690721649484
59,0.00016059962723352931,0.02875349852011392,0.002457722080994005,0.026295776724031095,0.9305098684210527,1.0,1.1431088485367924,0.8008247422680412,0.8189690721649484
60,0.00014644660940672636,0.02387497976030174,0.0034802010662755684,0.02039477851633963,0.9337993421052632,0.9991776315789473,1.0888011873722259,0.8197938144329897,0.8197938144329897
61,0.00013283874528215725,0.025600053369998932,0.002066321217602021,0.023533732189159644,0.9342105263157895,1.0,1.7028592504848217,0.7529896907216495,0.8197938144329897
62,0.0001197970171999846,0.024364394086756204,0.0026807834725140743,0.021683610828691406,0.9366776315789473,0.9991776315789473,2.2937851216254934,0.7212371134020619,0.8197938144329897
63,0.00010734153455962753,0.02498187585488746,0.0014463400431467515,0.02353553586688481,0.9346217105263158,1.0,1.8658380599930617,0.7496907216494846,0.8197938144329897
64,9.549150281252638e-05,0.028287640429641072,0.001374255783096152,0.026913384490303303,0.9354440789473685,1.0,1.6473824377810444,0.7723711340206185,0.8197938144329897
65,8.426519384872754e-05,0.020596912914985104,0.0016251967631672557,0.018971716347885758,0.930921052631579,1.0,3.2376600370895794,0.6635051546391753,0.8197938144329897
66,7.367991782295395e-05,0.017722040292267736,0.001735445084417925,0.015986595131260783,0.9383223684210527,1.0,1.3639931398142477,0.7859793814432989,0.8197938144329897
67,6.375199646360155e-05,0.02204874361326036,0.0012636317267989445,0.02078511171337021,0.936266447368421,1.0,1.8221924729742893,0.7521649484536083,0.8197938144329897
68,5.449673790581613e-05,0.02958821917050763,0.0037493667883896514,0.02583885263945711,0.9296875,0.9983552631578947,1.198086395503991,0.8103092783505155,0.8197938144329897
69,4.5928413087459345e-05,0.030616146144702247,0.0011389467292342726,0.0294771990983894,0.9321546052631579,1.0,1.0740593220551613,0.8210309278350515,0.8210309278350515
70,3.806023374435665e-05,0.022449804053298737,0.001439982008090929,0.02100982230254694,0.9375,1.0,1.9712257321533788,0.7418556701030928,0.8210309278350515
71,3.090433203875794e-05,0.02014809920403518,0.0012290551339423186,0.01891904419876243,0.9379111842105263,1.0,1.6696874469279204,0.7711340206185567,0.8210309278350515
72,2.447174185242325e-05,0.021619747368324744,0.0010955520602261746,0.020524195260613373,0.936266447368421,1.0,2.290229743380928,0.7228865979381444,0.8210309278350515
73,1.877238177317643e-05,0.01807842094843325,0.0008099359539827626,0.01726848494849707,0.9412006578947368,1.0,1.8297716984404744,0.7472164948453608,0.8210309278350515
74,1.3815039801161731e-05,0.019460515168152358,0.0011114088073985553,0.01834910627650587,0.9395559210526315,1.0,1.5434330292796192,0.7727835051546392,0.8210309278350515
75,9.607359798384792e-06,0.017170843937875407,0.0010258205798699667,0.016145023321242707,0.9432565789473685,1.0,1.5128757058745816,0.7752577319587629,0.8210309278350515
76,6.155829702431175e-06,0.01756745915075666,0.001929754265706594,0.01563770480846104,0.9370888157894737,0.9991776315789473,1.3998100302172758,0.7876288659793814,0.8210309278350515
77,3.4657715225368564e-06,0.019598570333695726,0.0015925447376886088,0.01800602558068931,0.9342105263157895,1.0,1.5765001828236311,0.7731958762886598,0.8210309278350515
78,1.5413331334360193e-06,0.02060171471614587,0.000974536816724331,0.019627177695694723,0.9403782894736842,1.0,1.15176342314859,0.8148453608247422,0.8210309278350515
79,3.8548187963854984e-07,0.02508029447084195,0.0012200958230287621,0.023860198396601175,0.9407894736842105,1.0,1.36928508975737,0.7921649484536083,0.8210309278350515
80,0.0,0.02630503228130309,0.0006669868981637256,0.025638045154904063,0.9420230263157895,1.0,1.3998884650345464,0.7921649484536083,0.8210309278350515
